MA_VUNG_MIEN,TEN_VUNG_MIEN,TEN_TINH_THANH
TBB,Tây Bắc Bộ,Hòa Bình
TBB,Tây Bắc Bộ,Sơn La
TBB,Tây Bắc Bộ,Điện Biên
TBB,Tây Bắc Bộ,Lai Châu
TBB,Tây Bắc Bộ,Lào Cai
TBB,Tây Bắc Bộ,Yên Bái
DBB,Đông Bắc Bộ,Phú Thọ
DBB,Đông Bắc Bộ,Hà Giang
DBB,Đông Bắc Bộ,Tuyên Quang
DBB,Đông Bắc Bộ,Cao Bằng
DBB,Đông Bắc Bộ,Bắc Kạn
DBB,Đông Bắc Bộ,Thái Nguyên
DBB,Đông Bắc Bộ,Lạng Sơn
DBB,Đông Bắc Bộ,Bắc Giang
DBB,Đông Bắc Bộ,Quảng Ninh
DBSH,Đồng bằng sông Hồng,Hà Nội
DBSH,Đồng bằng sông Hồng,Bắc Ninh
DBSH,Đồng bằng sông Hồng,Hà Nam
DBSH,Đồng bằng sông Hồng,Hải Dương
DBSH,Đồng bằng sông Hồng,Hải Phòng
DBSH,Đồng bằng sông Hồng,Hưng Yên
DBSH,Đồng bằng sông Hồng,Nam Định
DBSH,Đồng bằng sông Hồng,Thái Bình
DBSH,Đồng bằng sông Hồng,Vĩnh Phúc
DBSH,Đồng bằng sông Hồng,Ninh Bình
BTB,Bắc Trung Bộ,Thanh Hóa
BTB,Bắc Trung Bộ,Nghệ An
BTB,Bắc Trung Bộ,Hà Tĩnh
BTB,Bắc Trung Bộ,Quảng Bình
BTB,Bắc Trung Bộ,Quảng Trị
BTB,Bắc Trung Bộ,Thừa Thiên Huế
NTB,Nam Trung Bộ,Đà Nẵng
NTB,Nam Trung Bộ,Quảng Nam
NTB,Nam Trung Bộ,Quảng Ngãi
NTB,Nam Trung Bộ,Bình Định
NTB,Nam Trung Bộ,Phú Yên
NTB,Nam Trung Bộ,Khánh Hòa
NTB,Nam Trung Bộ,Ninh Thuận
NTB,Nam Trung Bộ,Bình Thuận
TN,Tây Nguyên,Kon Tum
TN,Tây Nguyên,Gia Lai
TN,Tây Nguyên,Đắk Lắk
TN,Tây Nguyên,Đắk Nông
TN,Tây Nguyên,Lâm Đồng
DNB,Đông Nam Bộ,TP Hồ Chí Minh
DNB,Đông Nam Bộ,Bà Rịa Vũng Tàu
DNB,Đông Nam Bộ,Bình Dương
DNB,Đông Nam Bộ,Bình Phước
DNB,Đông Nam Bộ,Đồng Nai
DNB,Đông Nam Bộ,Tây Ninh
DBSCL,Đồng bằng sông Cửu Long,An Giang
DBSCL,Đồng bằng sông Cửu Long,Bạc Liêu
DBSCL,Đồng bằng sông Cửu Long,Bến Tre
DBSCL,Đồng bằng sông Cửu Long,Cà Mau
DBSCL,Đồng bằng sông Cửu Long,Cần Thơ
DBSCL,Đồng bằng sông Cửu Long,Đồng Tháp
DBSCL,Đồng bằng sông Cửu Long,Hậu Giang
DBSCL,Đồng bằng sông Cửu Long,Kiên Giang
DBSCL,Đồng bằng sông Cửu Long,Long An
DBSCL,Đồng bằng sông Cửu Long,Sóc Trăng
DBSCL,Đồng bằng sông Cửu Long,Tiền Giang
DBSCL,Đồng bằng sông Cửu Long,Trà Vinh
DBSCL,Đồng bằng sông Cửu Long,Vĩnh Long